0 -30.9451
10 -30.961
20 -30.9748
30 -30.9857
40 -30.9937
50 -30.9986
60 -31
70 -31
80 -31
90 -31
100 -31
110 -30.9963
120 -30.9542
130 -30.8876
140 -30.8235
150 -30.788
160 -30.8057
170 -30.9003
180 -31.0977
190 -31.4244
200 -31.8421
210 -32.3061
220 -32.7756
230 -33.2133
240 -33.5842
250 -33.86
260 -34.0885
270 -34.2951
280 -34.4822
290 -34.6471
300 -34.7822
310 -34.8743
320 -34.9045
330 -34.7697
340 -34.4269
350 -33.9155
360 -33.2843
370 -32.5953
380 -31.9271
390 -31.3773
400 -31.0504
410 -30.9388
420 -30.9704
430 -31.0754
440 -31.1858
450 -31.2361
460 -31.1622
470 -30.9018
480 -30.4771
490 -29.9823
500 -29.4722
510 -29.0012
520 -28.6225
530 -28.386
540 -28.3368
550 -28.5108
560 -28.8635
570 -29.3596
580 -29.9759
590 -30.6852
600 -31.4587
610 -32.2675
620 -33.0834
630 -33.8811
640 -34.6686
650 -35.3797
660 -35.9347
670 -36.2802
680 -36.3903
690 -36.2654
700 -35.9309
710 -35.433
720 -34.8443
730 -34.2118
740 -33.5457
750 -32.8523
753.951 -32.5717
