-158.386	63.2432	0	30.9998044932
-158.217275818	63.1951562522	10	30.9716302159
-158.049111909	63.1469131841	20	30.9132823901
-157.881507546	63.0984718732	30	30.8490594665
-157.714461971	63.0498333936	40	30.8020882031
-157.547974403	63.0009988161	50	30.7944244267
-157.38204403	62.9519692079	60	30.8472508853
-157.216670017	62.9027456329	70	30.9811728014
-157.0518515	62.8533291515	80	31.2255480411
-156.887587592	62.8037208204	90	31.5772398694
-156.723877379	62.7539216928	100	31.9987290268
-156.560719923	62.7039328182	110	32.4557183358
-156.398114262	62.6537552426	120	32.9163726938
-156.236059411	62.603390008	130	33.3500622221
-156.074554361	62.5528381529	140	33.7258283197
-155.91359808	62.5021007119	150	34.025178383
-155.753189516	62.4511787158	160	34.3029518167
-155.593327591	62.4000731914	170	34.5674676306
-155.434011209	62.3487851619	180	34.8156801213
-155.275239253	62.2973156463	190	35.0376093802
-155.117010584	62.2456656598	200	35.2125992618
-154.959324044	62.1938362136	210	35.3128628545
-154.802178455	62.1418283147	220	35.3035129153
-154.645572619	62.0896429664	230	35.0670546789
-154.489505322	62.0372811676	240	34.5310915769
-154.333975328	61.9847439134	250	33.7418989568
-154.178981386	61.9320321946	260	32.7627588591
-154.024522225	61.8791469979	270	31.6756308809
-153.87059656	61.8260893058	280	30.5817880792
-153.717203088	61.7728600967	290	29.601401801
-153.564340487	61.7194603448	300	28.8695090534
-153.412007423	61.6658910201	310	28.4197722342
-153.260202545	61.6121530881	320	28.1899061234
-153.108924486	61.5582475104	330	28.1261728622
-152.958171866	61.5041752442	340	28.176231965
-152.807943289	61.4499372422	350	28.288967556
-152.658237345	61.3955344532	360	28.4143544984
-152.509052613	61.3409678214	370	28.5033633519
-152.360387656	61.2862382867	380	28.5121373
-152.212241024	61.2313467846	390	28.5034658682
-152.064611256	61.1762942465	400	28.5549188344
-151.917496878	61.1210815992	410	28.7130065659
-151.770896406	61.0657097652	420	28.9990388109
-151.62480834	61.0101796625	430	29.4242579905
-151.479231173	60.954492205	440	29.9918189157
-151.334163387	60.8986483019	450	30.6966304493
-151.18960345	60.8426488582	460	31.5251583548
-151.045549824	60.7864947743	470	32.40900124
-150.902000958	60.7301869463	480	33.2826942426
-150.758955294	60.6737262659	490	34.1151719384
-150.616411262	60.6171136203	500	34.877043954
-150.474367286	60.5603498922	510	35.5418105767
-150.332821778	60.5034359601	520	36.0871897852
-150.191773146	60.446372698	530	36.4965543084
-150.051219786	60.3891609751	540	36.7604772456
-149.911160087	60.3318016567	550	36.8673656031
-149.771592433	60.2742956033	560	36.7680591555
-149.632515199	60.2166436711	570	36.4477435272
-149.493926753	60.1588467119	580	35.9197528183
-149.355825456	60.1009055729	590	35.2190399227
-149.218209663	60.042821097	600	34.3967803138
-149.081077725	59.9845941226	610	33.5138757217
-148.944427983	59.9262254838	620	32.6328770212
-148.808258777	59.8677160101	630	31.7889525645
-148.672568438	59.8090665267	640	30.9796949255
-148.537355294	59.7502778543	650	30.1659798905
-148.402617667	59.6913508092	660	29.3056494666
-148.268353876	59.6322862034	670	28.3612882904
-148.134562233	59.5730848444	680	27.3057076073
-148.001241048	59.5137475353	690	26.1259380862
-147.868388628	59.4542750749	700	24.825733057
-147.736003273	59.3946682575	710	23.4266004675
-147.604083282	59.3349278731	720	21.9673823902
-147.472626951	59.2750547073	730	20.4537442209
-147.341632571	59.2150495415	740	18.8717443014
-147.211098433	59.1549131524	750	17.2534113171
-147.081022822	59.0946463128	760	15.633680959
-146.951404024	59.0342497908	770	14.0498964282
-146.822240321	58.9737243504	780	12.541131516
-146.693529992	58.9130707513	790	11.1472956138
-146.565271317	58.8522897487	800	9.90802398401
-146.437462573	58.7913820936	810	8.86109534322
-146.310102034	58.7303485329	820	8.02449811167
-146.183187974	58.6691898091	830	7.3954352642
-146.056718668	58.6079066604	840	6.94864350861
-145.930692387	58.5464998208	850	6.65668835687
-145.805107403	58.48497002	860	6.4923224119
-145.679961987	58.4233179838	870	6.42951696395
-145.555254409	58.3615444333	880	6.44429549384
-145.43098294	58.2996500858	890	6.51537198804
-145.30714585	58.2376356543	900	6.62459700157
-145.18374141	58.1755018476	910	6.75747300392
-145.06076789	58.1132493705	920	6.91948065183
-144.938223561	58.0508789234	930	7.10669438603
-144.816106695	57.9883912027	940	7.30400917483
-144.694415565	57.9257869009	950	7.49764640055
-144.677	57.9168	951.433988333	7.52438396332
